COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE
Indonesia,Unemployment rate,Annual,Units,2017,5.50
Indonesia,Unemployment rate,Annual,Units,2018,5.34
Indonesia,Unemployment rate,Annual,Units,2019,5.28
Indonesia,Unemployment rate,Annual,Units,2020,7.07
Indonesia,Unemployment rate,Annual,Units,2021,6.49
Indonesia,Unemployment rate,Annual,Units,2022,5.86
Indonesia,Unemployment rate,Annual,Units,2023,5.32
Indonesia,Unemployment rate,Annual,Units,2024,4.91
Indonesia,Unemployment rate,Annual,Units,2025,4.85
Indonesia,Unemployment rate,Annual,Units,2026,4.80
Indonesia,Unemployment rate,Annual,Units,2027,4.75
Indonesia,Unemployment rate,Annual,Units,2028,4.70
Indonesia,Unemployment rate,Annual,Units,2029,4.65
Indonesia,Unemployment rate,Annual,Units,2030,4.60
