COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2025,1.76,Forecast
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2025,1.61,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2025,0.24,Forecast
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2025,3.52,Forecast
Japan,Unemployment rate,Annual,Units,2025,2.39,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2026,0.63,Forecast
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2026,-1.61,Forecast
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2026,1.87,Forecast
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2026,1.70,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2026,0.21,Forecast
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2026,3.56,Forecast
Japan,Unemployment rate,Annual,Units,2026,2.29,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2027,0.62,Forecast
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2027,-1.39,Forecast
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2027,1.97,Forecast
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2027,1.80,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2027,0.17,Forecast
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2027,3.60,Forecast
Japan,Unemployment rate,Annual,Units,2027,2.20,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2028,0.61,Forecast
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2028,-1.17,Forecast
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2028,2.07,Forecast
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2028,1.89,Forecast
